Number,Species,SpMyco,Light,SoilSt,SoilCon,SoilSp,SoilMyco,SoilSpec,Adult,Bench,Time,Event,AMF,EMF,NSC,Lignin,Phenolics,AMF_Imp,EMF_Imp,NSC_Imp,LIG_Imp,PHN_Imp
2882,Prse,AMF,Low,Sterile,Sterile,Sterile,Sterile,ConSter,B,9,84,0,0,NA,NA,NA,NA,0,NA,8.450034207,5.779305618,0.254729918
227,Quru,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,J,1,21,0,52,27,NA,28.7,3.84,52,27.15396559,16.33820252,28.6519048,3.837047512
228,Prse,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,1,21,0,NA,NA,12.67,NA,NA,68.91,NA,12.6682445,9.965811961,0.841090443
229,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,A,1,21,0,NA,NA,NA,NA,NA,0.04,NA,12.56067733,10.4025191,0.149043278
230,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,50,1,21,0,NA,NA,20.67,NA,NA,38.28423077,37.47019494,20.67474668,18.84523079,5.179866893
2942,Prse,AMF,Low,Sterile,Sterile,Sterile,Sterile,ConSter,A,9,84,0,0,NA,NA,NA,NA,0,NA,8.34341964,5.746794263,0.258331903
232,Acru,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,689,1,84,0,NA,NA,NA,NA,NA,34.14,NA,12.00079254,9.24895594,0.136836741
44,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,A,1,84,0,2,NA,NA,NA,NA,2,NA,11.93386664,9.72450532,0.065643401
234,Acru,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1330,1,21,0,NA,NA,12.02,NA,NA,34.68,NA,12.01717361,9.219734219,0.170612653
235,Qual,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1297,1,84,0,0,NA,NA,NA,NA,0,8.780880426,21.80220581,18.80642024,4.218092776
236,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1384,1,21,0,NA,NA,19.15,NA,NA,38.21423077,34.01861185,19.14646497,21.75124961,5.008025778
237,Qual,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1330,1,84,0,NA,NA,NA,NA,NA,40.23,28.96275608,23.43200498,19.27733035,5.304542917
238,Acsa,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1384,1,21,0,NA,NA,12.24,NA,NA,71.265,NA,12.24331303,13.77492676,-0.297754922
